"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)",
"1400000US17031061500","Census Tract 615, Cook County, Illinois","123409","12077",
"1400000US17031061800","Census Tract 618, Cook County, Illinois","72308","14714",
"1400000US17031061901","Census Tract 619.01, Cook County, Illinois","65882","10432",
"1400000US17031061902","Census Tract 619.02, Cook County, Illinois","76792","10992",
"1400000US17031062000","Census Tract 620, Cook County, Illinois","77222","12082",
"1400000US17031062100","Census Tract 621, Cook County, Illinois","91438","15198",
"1400000US17031062200","Census Tract 622, Cook County, Illinois","128102","18773",
"1400000US17031062300","Census Tract 623, Cook County, Illinois","140556","22154",
"1400000US17031062400","Census Tract 624, Cook County, Illinois","133897","19161",
"1400000US17031062500","Census Tract 625, Cook County, Illinois","150240","31805",
"1400000US17031062600","Census Tract 626, Cook County, Illinois","164286","20395",
"1400000US17031062700","Census Tract 627, Cook County, Illinois","172850","22837",
"1400000US17031062800","Census Tract 628, Cook County, Illinois","156875","30304",
"1400000US17031062900","Census Tract 629, Cook County, Illinois","131900","26270",
"1400000US17031063000","Census Tract 630, Cook County, Illinois","95897","9786",
"1400000US17031063100","Census Tract 631, Cook County, Illinois","90978","13932",
"1400000US17031063200","Census Tract 632, Cook County, Illinois","72457","18748",
"1400000US17031063301","Census Tract 633.01, Cook County, Illinois","60361","6516",
"1400000US17031063302","Census Tract 633.02, Cook County, Illinois","81638","5449",
"1400000US17031063303","Census Tract 633.03, Cook County, Illinois","92250","20705",
"1400000US17031063400","Census Tract 634, Cook County, Illinois","105735","13604",
"1400000US17031070101","Census Tract 701.01, Cook County, Illinois","75804","10684",
"1400000US17031070102","Census Tract 701.02, Cook County, Illinois","71373","11800",
"1400000US17031070103","Census Tract 701.03, Cook County, Illinois","61118","4185",
"1400000US17031070200","Census Tract 702, Cook County, Illinois","91723","12644",
"1400000US17031070300","Census Tract 703, Cook County, Illinois","145855","19565",
"1400000US17031070400","Census Tract 704, Cook County, Illinois","114902","23556",
"1400000US17031070500","Census Tract 705, Cook County, Illinois","152850","25368",
"1400000US17031070600","Census Tract 706, Cook County, Illinois","170750","29012",
"1400000US17031070700","Census Tract 707, Cook County, Illinois","121298","15226",
"1400000US17031071000","Census Tract 710, Cook County, Illinois","147552","17975",
"1400000US17031071100","Census Tract 711, Cook County, Illinois","160662","40936",
"1400000US17031071200","Census Tract 712, Cook County, Illinois","114286","33005",
"1400000US17031071300","Census Tract 713, Cook County, Illinois","122621","14690",
"1400000US17031071400","Census Tract 714, Cook County, Illinois","117150","19139",
